epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.86823,1.28604,3.13326,1.42341,0,0,0,0,0,12.3448,0,0.00020006,0.00020006,0.00020006
2,7.83066,1.18121,2.77919,1.28277,0,0,0,0,0,12.3778,0,0.000332357,0.000332357,0.000332357
3,11.7638,1.16703,2.37581,1.25232,0,0,0,0,0,12.6663,0,0.000379771,0.000379771,0.000379771
4,15.7445,1.20324,2.08776,1.22006,0,0,0,0,0,13.2656,0,0.000342303,0.000342303,0.000342303
5,19.643,1.07795,1.87728,1.13828,0,0,0,0,0,13.6411,0,0.000219952,0.000219952,0.000219952
