epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.7788,1.41311,3.35861,1.74139,0,0,0,0,0,94.027,0,4.287e-05,4.287e-05,4.287e-05
2,40.7962,1.22967,3.20716,1.55644,0,0,0,0,0,93.6661,0,9.50785e-05,9.50785e-05,9.50785e-05
3,61.3429,0.99457,2.78761,1.34866,0,0,0,0,0,93.2061,0,0.000141628,0.000141628,0.000141628
4,81.1013,1.05205,2.42602,1.39603,0,0,0,0,0,93.1456,0,0.000182519,0.000182519,0.000182519
5,101.154,1.07794,2.28457,1.34498,0,0,0,0,0,92.0095,0,0.000217751,0.000217751,0.000217751
